INFO 2024-12-01 16:19:42,430 autoreload Watching for file changes with StatReloader
DEBUG 2024-12-01 16:19:42,654 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\maistorbox\common\apps.py first seen with mtime 1730590006.0056458
DEBUG 2024-12-01 16:19:42,654 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\core\management\commands\__init__.py first seen with mtime 1730590523.308741
DEBUG 2024-12-01 16:19:42,654 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\struct.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,654 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\core\cache\backends\filebased.py first seen with mtime 1730590523.2853274
DEBUG 2024-12-01 16:19:42,655 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\core\files\temp.py first seen with mtime 1730590523.298869
DEBUG 2024-12-01 16:19:42,655 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\operator.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,655 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\contrib\auth\management\__init__.py first seen with mtime 1730590521.980279
DEBUG 2024-12-01 16:19:42,655 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\psycopg2\sql.py first seen with mtime 1730590520.696488
DEBUG 2024-12-01 16:19:42,655 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\cloudinary\search_folders.py first seen with mtime 1731422613.5584874
DEBUG 2024-12-01 16:19:42,655 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\asgiref\__init__.py first seen with mtime 1730590520.8849216
DEBUG 2024-12-01 16:19:42,655 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\conf\global_settings.py first seen with mtime 1730590521.05629
DEBUG 2024-12-01 16:19:42,655 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\core\wsgi.py first seen with mtime 1730590523.2813165
DEBUG 2024-12-01 16:19:42,656 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\contrib\admin\options.py first seen with mtime 1730590521.3237517
